	Strategy	Query	Class	Value
488	EER	q2	western	4
489	EER	q2	comedy	11
490	EER	q3	musical	0
491	EER	q3	crime	7
492	EER	q3	action	4
493	EER	q3	mystery	3
494	EER	q3	film noir	3
495	EER	q3	adventure	1
496	EER	q3	horror	3
497	EER	q3	thriller	3
498	EER	q3	unknown	27
499	EER	q3	crime drama	3
500	EER	q3	romance	2
501	EER	q3	drama	27
502	EER	q3	western	4
503	EER	q3	comedy	13
504	EER	q4	musical	0
505	EER	q4	crime	2
506	EER	q4	action	3
507	EER	q4	mystery	5
508	EER	q4	film noir	0
509	EER	q4	adventure	4
510	EER	q4	horror	1
511	EER	q4	thriller	2
512	EER	q4	unknown	20
513	EER	q4	crime drama	2
514	EER	q4	romance	5
515	EER	q4	drama	32
516	EER	q4	western	3
517	EER	q4	comedy	21
518	EER	q5	musical	3
519	EER	q5	crime	3
520	EER	q5	action	2
521	EER	q5	mystery	0
522	EER	q5	film noir	2
523	EER	q5	adventure	1
524	EER	q5	horror	2
525	EER	q5	thriller	1
526	EER	q5	unknown	24
527	EER	q5	crime drama	2
528	EER	q5	romance	5
529	EER	q5	drama	30
530	EER	q5	western	4
531	EER	q5	comedy	21
532	EER	q6	musical	4
533	EER	q6	crime	2
534	EER	q6	action	6
535	EER	q6	mystery	2
536	EER	q6	film noir	1
537	EER	q6	adventure	1
538	EER	q6	horror	2
539	EER	q6	thriller	5
540	EER	q6	unknown	23
541	EER	q6	crime drama	0
542	EER	q6	romance	4
543	EER	q6	drama	21
544	EER	q6	western	6
545	EER	q6	comedy	23
546	EER	q7	musical	3
547	EER	q7	crime	4
548	EER	q7	action	3
549	EER	q7	mystery	1
550	EER	q7	film noir	1
551	EER	q7	adventure	2
552	EER	q7	horror	1
553	EER	q7	thriller	3
554	EER	q7	unknown	30
555	EER	q7	crime drama	0
556	EER	q7	romance	3
557	EER	q7	drama	25
558	EER	q7	western	3
559	EER	q7	comedy	21
560	LAL_iter	q0	musical	3
561	LAL_iter	q0	crime	0
562	LAL_iter	q0	action	1
563	LAL_iter	q0	mystery	0
564	LAL_iter	q0	film noir	2
565	LAL_iter	q0	adventure	4
566	LAL_iter	q0	horror	2
567	LAL_iter	q0	thriller	7
568	LAL_iter	q0	unknown	28
569	LAL_iter	q0	crime drama	0
570	LAL_iter	q0	romance	1
571	LAL_iter	q0	drama	26
572	LAL_iter	q0	western	5
573	LAL_iter	q0	comedy	21
574	LAL_iter	q1	musical	3
575	LAL_iter	q1	crime	1
576	LAL_iter	q1	action	2
577	LAL_iter	q1	mystery	7
578	LAL_iter	q1	film noir	0
579	LAL_iter	q1	adventure	1
580	LAL_iter	q1	horror	1
581	LAL_iter	q1	thriller	3
582	LAL_iter	q1	unknown	1
583	LAL_iter	q1	crime drama	1
584	LAL_iter	q1	romance	0
585	LAL_iter	q1	drama	38
586	LAL_iter	q1	western	8
587	LAL_iter	q1	comedy	34
588	LAL_iter	q2	musical	3
589	LAL_iter	q2	crime	5
590	LAL_iter	q2	action	1
591	LAL_iter	q2	mystery	5
