	Strategy	Query	Class	Value
634	GraphDensity	q7	comp.windows.x	3
635	GraphDensity	q7	sci.crypt	2
636	GraphDensity	q7	rec.motorcycles	12
637	GraphDensity	q7	comp.os.ms-windows.misc	3
638	GraphDensity	q7	rec.sport.baseball	13
639	GraphDensity	q7	rec.autos	3
640	EER	q0	sci.med	2
641	EER	q0	sci.space	3
642	EER	q0	rec.sport.hockey	0
643	EER	q0	talk.politics.misc	1
644	EER	q0	talk.politics.guns	2
645	EER	q0	soc.religion.christian	3
646	EER	q0	alt.atheism	1
647	EER	q0	misc.forsale	6
648	EER	q0	comp.graphics	34
649	EER	q0	talk.religion.misc	0
650	EER	q0	comp.sys.ibm.pc.hardware	3
651	EER	q0	comp.sys.mac.hardware	4
652	EER	q0	talk.politics.mideast	3
653	EER	q0	sci.electronics	2
654	EER	q0	comp.windows.x	4
655	EER	q0	sci.crypt	3
656	EER	q0	rec.motorcycles	14
657	EER	q0	comp.os.ms-windows.misc	3
658	EER	q0	rec.sport.baseball	7
659	EER	q0	rec.autos	5
