	Strategy	Query	Class	Value
575	LAL_iter	q1	crime drama	1
576	LAL_iter	q1	unknown	2
577	LAL_iter	q1	crime	1
578	LAL_iter	q1	horror	0
579	LAL_iter	q1	drama	37
580	LAL_iter	q1	musical	4
581	LAL_iter	q1	romance	0
582	LAL_iter	q1	adventure	1
583	LAL_iter	q1	western	10
584	LAL_iter	q1	film noir	0
585	LAL_iter	q1	action	2
586	LAL_iter	q1	mystery	8
587	LAL_iter	q1	comedy	32
588	LAL_iter	q2	thriller	0
589	LAL_iter	q2	crime drama	1
590	LAL_iter	q2	unknown	1
591	LAL_iter	q2	crime	6
592	LAL_iter	q2	horror	0
593	LAL_iter	q2	drama	28
594	LAL_iter	q2	musical	2
595	LAL_iter	q2	romance	1
596	LAL_iter	q2	adventure	4
597	LAL_iter	q2	western	13
598	LAL_iter	q2	film noir	0
599	LAL_iter	q2	action	0
600	LAL_iter	q2	mystery	4
601	LAL_iter	q2	comedy	40
602	LAL_iter	q3	thriller	2
603	LAL_iter	q3	crime drama	4
604	LAL_iter	q3	unknown	2
605	LAL_iter	q3	crime	8
606	LAL_iter	q3	horror	3
607	LAL_iter	q3	drama	43
608	LAL_iter	q3	musical	6
609	LAL_iter	q3	romance	3
610	LAL_iter	q3	adventure	5
611	LAL_iter	q3	western	1
612	LAL_iter	q3	film noir	6
613	LAL_iter	q3	action	0
614	LAL_iter	q3	mystery	1
615	LAL_iter	q3	comedy	16
616	LAL_iter	q4	thriller	4
617	LAL_iter	q4	crime drama	2
618	LAL_iter	q4	unknown	11
619	LAL_iter	q4	crime	17
620	LAL_iter	q4	horror	8
621	LAL_iter	q4	drama	27
622	LAL_iter	q4	musical	2
623	LAL_iter	q4	romance	2
624	LAL_iter	q4	adventure	2
625	LAL_iter	q4	western	2
626	LAL_iter	q4	film noir	2
627	LAL_iter	q4	action	6
628	LAL_iter	q4	mystery	2
629	LAL_iter	q4	comedy	13
630	LAL_iter	q5	thriller	7
631	LAL_iter	q5	crime drama	0
632	LAL_iter	q5	unknown	28
633	LAL_iter	q5	crime	0
634	LAL_iter	q5	horror	2
635	LAL_iter	q5	drama	16
636	LAL_iter	q5	musical	0
637	LAL_iter	q5	romance	7
638	LAL_iter	q5	adventure	2
639	LAL_iter	q5	western	4
640	LAL_iter	q5	film noir	0
641	LAL_iter	q5	action	15
642	LAL_iter	q5	mystery	0
643	LAL_iter	q5	comedy	19
644	LAL_iter	q6	thriller	6
645	LAL_iter	q6	crime drama	0
646	LAL_iter	q6	unknown	47
647	LAL_iter	q6	crime	0
648	LAL_iter	q6	horror	3
649	LAL_iter	q6	drama	25
650	LAL_iter	q6	musical	0
651	LAL_iter	q6	romance	5
652	LAL_iter	q6	adventure	0
653	LAL_iter	q6	western	0
654	LAL_iter	q6	film noir	0
655	LAL_iter	q6	action	4
656	LAL_iter	q6	mystery	0
657	LAL_iter	q6	comedy	10
658	LAL_iter	q7	thriller	0
659	LAL_iter	q7	crime drama	0
660	LAL_iter	q7	unknown	93
661	LAL_iter	q7	crime	0
662	LAL_iter	q7	horror	0
663	LAL_iter	q7	drama	1
664	LAL_iter	q7	musical	0
665	LAL_iter	q7	romance	5
666	LAL_iter	q7	adventure	0
667	LAL_iter	q7	western	0
668	LAL_iter	q7	film noir	0
669	LAL_iter	q7	action	0
670	LAL_iter	q7	mystery	0
671	LAL_iter	q7	comedy	1
672	LAL_indep	q0	thriller	7
673	LAL_indep	q0	crime drama	0
674	LAL_indep	q0	unknown	28
675	LAL_indep	q0	crime	0
676	LAL_indep	q0	horror	2
677	LAL_indep	q0	drama	26
678	LAL_indep	q0	musical	3
679	LAL_indep	q0	romance	1
680	LAL_indep	q0	adventure	4
681	LAL_indep	q0	western	5
682	LAL_indep	q0	film noir	2
683	LAL_indep	q0	action	1
684	LAL_indep	q0	mystery	0
685	LAL_indep	q0	comedy	21
686	LAL_indep	q1	thriller	1
687	LAL_indep	q1	crime drama	2
688	LAL_indep	q1	unknown	13
689	LAL_indep	q1	crime	9
690	LAL_indep	q1	horror	1
691	LAL_indep	q1	drama	37
692	LAL_indep	q1	musical	1
693	LAL_indep	q1	romance	6
694	LAL_indep	q1	adventure	2
695	LAL_indep	q1	western	5
696	LAL_indep	q1	film noir	0
697	LAL_indep	q1	action	2
698	LAL_indep	q1	mystery	4
699	LAL_indep	q1	comedy	17
700	LAL_indep	q2	thriller	5
701	LAL_indep	q2	crime drama	0
702	LAL_indep	q2	unknown	24
703	LAL_indep	q2	crime	5
704	LAL_indep	q2	horror	6
705	LAL_indep	q2	drama	27
706	LAL_indep	q2	musical	3
707	LAL_indep	q2	romance	1
708	LAL_indep	q2	adventure	0
709	LAL_indep	q2	western	8
710	LAL_indep	q2	film noir	0
711	LAL_indep	q2	action	5
712	LAL_indep	q2	mystery	5
713	LAL_indep	q2	comedy	11
714	LAL_indep	q3	thriller	3
715	LAL_indep	q3	crime drama	4
716	LAL_indep	q3	unknown	30
717	LAL_indep	q3	crime	4
718	LAL_indep	q3	horror	1
719	LAL_indep	q3	drama	19
720	LAL_indep	q3	musical	2
721	LAL_indep	q3	romance	3
722	LAL_indep	q3	adventure	1
723	LAL_indep	q3	western	2
724	LAL_indep	q3	film noir	2
725	LAL_indep	q3	action	4
726	LAL_indep	q3	mystery	2
727	LAL_indep	q3	comedy	23
728	LAL_indep	q4	thriller	5
729	LAL_indep	q4	crime drama	1
730	LAL_indep	q4	unknown	18
731	LAL_indep	q4	crime	6
732	LAL_indep	q4	horror	1
733	LAL_indep	q4	drama	23
734	LAL_indep	q4	musical	2
735	LAL_indep	q4	romance	2
736	LAL_indep	q4	adventure	3
737	LAL_indep	q4	western	2
738	LAL_indep	q4	film noir	3
739	LAL_indep	q4	action	9
740	LAL_indep	q4	mystery	1
741	LAL_indep	q4	comedy	24
742	LAL_indep	q5	thriller	4
743	LAL_indep	q5	crime drama	1
744	LAL_indep	q5	unknown	22
745	LAL_indep	q5	crime	3
746	LAL_indep	q5	horror	2
747	LAL_indep	q5	drama	22
748	LAL_indep	q5	musical	2
749	LAL_indep	q5	romance	1
750	LAL_indep	q5	adventure	4
751	LAL_indep	q5	western	11
752	LAL_indep	q5	film noir	0
753	LAL_indep	q5	action	6
754	LAL_indep	q5	mystery	1
755	LAL_indep	q5	comedy	21
756	LAL_indep	q6	thriller	0
757	LAL_indep	q6	crime drama	0
758	LAL_indep	q6	unknown	23
759	LAL_indep	q6	crime	1
760	LAL_indep	q6	horror	3
761	LAL_indep	q6	drama	31
762	LAL_indep	q6	musical	2
763	LAL_indep	q6	romance	7
764	LAL_indep	q6	adventure	2
765	LAL_indep	q6	western	2
766	LAL_indep	q6	film noir	3
767	LAL_indep	q6	action	0
768	LAL_indep	q6	mystery	1
769	LAL_indep	q6	comedy	25
770	LAL_indep	q7	thriller	3
771	LAL_indep	q7	crime drama	0
772	LAL_indep	q7	unknown	54
773	LAL_indep	q7	crime	4
774	LAL_indep	q7	horror	2
775	LAL_indep	q7	drama	18
776	LAL_indep	q7	musical	2
777	LAL_indep	q7	romance	3
778	LAL_indep	q7	adventure	2
779	LAL_indep	q7	western	0
780	LAL_indep	q7	film noir	0
781	LAL_indep	q7	action	1
782	LAL_indep	q7	mystery	1
783	LAL_indep	q7	comedy	10
