	Strategy	Query	Class	Value
620	GraphDensity	q7	rec.sport.hockey	2
621	GraphDensity	q7	rec.autos	2
622	GraphDensity	q7	comp.sys.ibm.pc.hardware	3
623	GraphDensity	q7	comp.os.ms-windows.misc	0
624	GraphDensity	q7	alt.atheism	1
625	GraphDensity	q7	talk.politics.mideast	1
626	GraphDensity	q7	comp.graphics	31
627	GraphDensity	q7	sci.space	1
628	GraphDensity	q7	rec.sport.baseball	8
629	GraphDensity	q7	misc.forsale	8
630	GraphDensity	q7	talk.politics.guns	1
631	GraphDensity	q7	rec.motorcycles	16
632	GraphDensity	q7	comp.windows.x	2
633	GraphDensity	q7	sci.crypt	4
634	GraphDensity	q7	comp.sys.mac.hardware	4
635	GraphDensity	q7	talk.politics.misc	1
636	GraphDensity	q7	sci.med	4
637	GraphDensity	q7	talk.religion.misc	3
638	GraphDensity	q7	sci.electronics	3
639	GraphDensity	q7	soc.religion.christian	5
640	EER	q0	rec.sport.hockey	0
641	EER	q0	rec.autos	5
642	EER	q0	comp.sys.ibm.pc.hardware	3
643	EER	q0	comp.os.ms-windows.misc	3
644	EER	q0	alt.atheism	1
645	EER	q0	talk.politics.mideast	3
646	EER	q0	comp.graphics	34
647	EER	q0	sci.space	3
648	EER	q0	rec.sport.baseball	7
649	EER	q0	misc.forsale	6
650	EER	q0	talk.politics.guns	2
651	EER	q0	rec.motorcycles	14
652	EER	q0	comp.windows.x	4
653	EER	q0	sci.crypt	3
654	EER	q0	comp.sys.mac.hardware	4
655	EER	q0	talk.politics.misc	1
656	EER	q0	sci.med	2
657	EER	q0	talk.religion.misc	0
658	EER	q0	sci.electronics	2
659	EER	q0	soc.religion.christian	3
660	EER	q1	rec.sport.hockey	2
661	EER	q1	rec.autos	3
662	EER	q1	comp.sys.ibm.pc.hardware	1
663	EER	q1	comp.os.ms-windows.misc	0
664	EER	q1	alt.atheism	1
665	EER	q1	talk.politics.mideast	1
666	EER	q1	comp.graphics	13
667	EER	q1	sci.space	1
668	EER	q1	rec.sport.baseball	20
669	EER	q1	misc.forsale	10
670	EER	q1	talk.politics.guns	4
671	EER	q1	rec.motorcycles	28
672	EER	q1	comp.windows.x	0
673	EER	q1	sci.crypt	0
674	EER	q1	comp.sys.mac.hardware	2
675	EER	q1	talk.politics.misc	5
